"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"2","0.053207","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=1461 Win=32964 Len=0"
"3","0.314650","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"4","0.315989","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"5","0.315989","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"6","0.316075","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=5841 Win=32964 Len=0"
"7","0.316772","108.62.5.3","10.120.238.0","SSLv2","1514","Encrypted Data"
"8","0.316830","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=7301 Win=32964 Len=0"
"9","0.317646","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"10","0.319388","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"11","0.319388","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"12","0.319421","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=11681 Win=32964 Len=0"
"13","0.321960","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"14","0.321960","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"15","0.321960","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"16","0.321960","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"17","0.322033","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=17521 Win=32964 Len=0"
"18","0.324882","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"19","0.324882","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"20","0.324882","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"21","0.324882","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"22","0.324938","10.120.238.0","108.62.5.3","TCP","54","49236  >  443 [ACK] Seq=1 Ack=23361 Win=32964 Len=0"
"23","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"24","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"25","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"26","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"27","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"28","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
"29","0.328454","108.62.5.3","10.120.238.0","TCP","1514","[TCP segment of a reassembled PDU]"
